kode_pegawai,jenis_kelamin,pendidikan,kelompok_pegawai,status_pegawai,golongan,sumber_data,aktif_sistem_baru,status_aktif,tahun,ada_data_tahun_ini,absensi_jumlah_hari,absensi_checkin_terisi,absensi_checkout_terisi,absensi_rata_jam_masuk,absensi_rata_durasi_jam,apel_jumlah_undangan,apel_hadir,apel_tidak_hadir,apel_persen_hadir,penugasan_jumlah,penugasan_kegiatan_unik,penugasan_terverifikasi,pelatihan_jumlah,pelatihan_bersertifikat,pelatihan_kumulatif_sd_tahun,pelatihan_tanpa_tahun,asesmen_integritas,asesmen_kerjasama,asesmen_komunikasi,asesmen_orientasi_hasil,asesmen_pelayanan_publik,asesmen_pengembangan_diri,asesmen_mengelola_perubahan,asesmen_pengambilan_keputusan,asesmen_perekat_bangsa,asesmen_total,asesmen_persen,asesmen_tersedia,skp_predikat,skp_sangat_baik,skp_jumlah_periode,skp_bulan_dinilai,skp_predikat_bervariasi,skp_tw1_predikat,skp_tw1_sangat_baik,skp_tw2_predikat,skp_tw2_sangat_baik,skp_jumlah_triwulan,skp_konsisten_sangat_baik,skp_jenis_penilaian,kelompok_usia
P001,Laki-laki,D3,PNS,Fungsional Umum,Penata/IIIc,sistem_lama,0,Tidak Terdaftar,2023,0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,60+
P001,Laki-laki,D3,PNS,Fungsional Umum,Penata/IIIc,sistem_lama,0,Tidak Terdaftar,2024,0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,60+
P001,Laki-laki,D3,PNS,Fungsional Umum,Penata/IIIc,sistem_lama,0,Tidak Terdaftar,2025,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,60+
P001,Laki-laki,D3,PNS,Fungsional Umum,Penata/IIIc,sistem_lama,0,Tidak Terdaftar,2026,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,60+
P002,Laki-laki,SMA/SMK,Pelaksana,PPPK,V,keduanya,1,Aktif,2023,1,,,,,,28.0,16.0,12.0,57.14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,<30
P002,Laki-laki,SMA/SMK,Pelaksana,PPPK,V,keduanya,1,Aktif,2024,1,,,,,,43.0,30.0,13.0,69.77,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,<30
P002,Laki-laki,SMA/SMK,Pelaksana,PPPK,V,keduanya,1,Aktif,2025,1,60.0,60.0,54.0,6.62,8.37,34.0,32.0,2.0,94.12,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,Baik,0.0,1.0,4.0,0.0,,,,,,,Tahunan,<30
P002,Laki-laki,SMA/SMK,Pelaksana,PPPK,V,keduanya,1,Aktif,2026,1,149.0,149.0,142.0,6.7,9.23,18.0,18.0,0.0,100.0,1.0,1.0,,1.0,0.0,1.0,0.0,,,,,,,,,,,,0.0,Baik,0.0,,,,Baik,0.0,Baik,0.0,2.0,0.0,Triwulan (terkini),<30
P003,Laki-laki,SMA/Sederajat,PNS,Fungsional Umum,Penata Muda Tk. I/IIIb,sistem_lama,0,Tidak Terdaftar,2023,0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,60+
P003,Laki-laki,SMA/Sederajat,PNS,Fungsional Umum,Penata Muda Tk. I/IIIb,sistem_lama,0,Tidak Terdaftar,2024,0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,60+
P003,Laki-laki,SMA/Sederajat,PNS,Fungsional Umum,Penata Muda Tk. I/IIIb,sistem_lama,0,Tidak Terdaftar,2025,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,60+
P003,Laki-laki,SMA/Sederajat,PNS,Fungsional Umum,Penata Muda Tk. I/IIIb,sistem_lama,0,Tidak Terdaftar,2026,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,60+
P004,Laki-laki,S1/D4,PNS,Pelaksana,Penata Tk. I/IIId,sistem_lama,0,Tidak Terdaftar,2023,1,,,,,,28.0,25.0,3.0,89.29,3.0,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,50-59
P004,Laki-laki,S1/D4,PNS,Pelaksana,Penata Tk. I/IIId,sistem_lama,0,Tidak Terdaftar,2024,1,,,,,,43.0,38.0,5.0,88.37,5.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,Sangat Baik,1.0,2.0,12.0,0.0,,,,,,,Tahunan,50-59
P004,Laki-laki,S1/D4,PNS,Pelaksana,Penata Tk. I/IIId,sistem_lama,0,Tidak Terdaftar,2025,1,38.0,38.0,35.0,7.66,8.41,7.0,7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,Baik,0.0,1.0,2.0,0.0,,,,,,,Tahunan,50-59
P004,Laki-laki,S1/D4,PNS,Pelaksana,Penata Tk. I/IIId,sistem_lama,0,Tidak Terdaftar,2026,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,50-59
P005,Laki-laki,SMA/SMK,Pelaksana,PPPK,V,keduanya,1,Aktif,2023,1,,,,,,28.0,18.0,10.0,64.29,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,40-49
P005,Laki-laki,SMA/SMK,Pelaksana,PPPK,V,keduanya,1,Aktif,2024,1,,,,,,43.0,36.0,7.0,83.72,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,40-49
P005,Laki-laki,SMA/SMK,Pelaksana,PPPK,V,keduanya,1,Aktif,2025,1,57.0,55.0,53.0,7.39,11.28,34.0,30.0,4.0,88.24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,Baik,0.0,1.0,4.0,0.0,,,,,,,Tahunan,40-49
P005,Laki-laki,SMA/SMK,Pelaksana,PPPK,V,keduanya,1,Aktif,2026,1,144.0,139.0,136.0,7.25,10.14,18.0,18.0,0.0,100.0,1.0,1.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,Baik,0.0,,,,Baik,0.0,Baik,0.0,2.0,0.0,Triwulan (terkini),40-49
P006,Perempuan,S2,Fungsional,PPPK,X,keduanya,1,Aktif,2023,0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,14.0,51.85,1.0,,,,,,,,,,,,,30-39
P006,Perempuan,S2,Fungsional,PPPK,X,keduanya,1,Aktif,2024,1,,,,,,23.0,22.0,1.0,95.65,7.0,7.0,7.0,9.0,9.0,9.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,14.0,51.85,1.0,Baik,0.0,1.0,9.0,0.0,,,,,,,Tahunan,30-39
P006,Perempuan,S2,Fungsional,PPPK,X,keduanya,1,Aktif,2025,1,170.0,168.0,161.0,7.2,9.22,34.0,30.0,4.0,88.24,10.0,10.0,10.0,3.0,3.0,12.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,14.0,51.85,1.0,Baik,0.0,1.0,11.0,0.0,,,,,,,Tahunan,40-49
P006,Perempuan,S2,Fungsional,PPPK,X,keduanya,1,Aktif,2026,1,130.0,129.0,128.0,7.06,9.23,18.0,15.0,3.0,83.33,3.0,3.0,,0.0,0.0,12.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,14.0,51.85,1.0,Baik,0.0,,,,Baik,0.0,Baik,0.0,2.0,0.0,Triwulan (terkini),40-49
P007,Laki-laki,SMA/Sederajat,PPNPN,PPNPN,-,sistem_lama,0,Tidak Terdaftar,2023,1,,,,,,28.0,19.0,9.0,67.86,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,40-49
P007,Laki-laki,SMA/Sederajat,PPNPN,PPNPN,-,sistem_lama,0,Tidak Terdaftar,2024,1,,,,,,43.0,41.0,2.0,95.35,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,40-49
P007,Laki-laki,SMA/Sederajat,PPNPN,PPNPN,-,sistem_lama,0,Tidak Terdaftar,2025,1,0.0,0.0,0.0,,,34.0,33.0,1.0,97.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,40-49
P007,Laki-laki,SMA/Sederajat,PPNPN,PPNPN,-,sistem_lama,0,Tidak Terdaftar,2026,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,40-49
P008,Laki-laki,S3,Fungsional,PNS,IV/b,keduanya,1,Aktif,2023,1,,,,,,28.0,25.0,3.0,89.29,8.0,8.0,8.0,1.0,1.0,23.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,19.0,70.37,1.0,,,,,,,,,,,,,50-59
P008,Laki-laki,S3,Fungsional,PNS,IV/b,keduanya,1,Aktif,2024,1,,,,,,43.0,36.0,7.0,83.72,11.0,11.0,11.0,3.0,3.0,26.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,19.0,70.37,1.0,Sangat Baik,1.0,1.0,12.0,0.0,,,,,,,Tahunan,50-59
P008,Laki-laki,S3,Fungsional,PNS,IV/b,keduanya,1,Aktif,2025,1,214.0,213.0,154.0,7.24,9.1,34.0,9.0,25.0,26.47,1.0,1.0,1.0,1.0,1.0,27.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,19.0,70.37,1.0,Baik,0.0,1.0,11.0,0.0,,,,,,,Tahunan,50-59
